county,hogan,cox,total_18,total_22,hogan_percent,cox_percent
Allegany,19224,13833,23530,20929,81.69995750106247,66.09489225476611
Anne Arundel,157202,73775,229206,168548,68.58546460389344,43.77091392363006
Baltimore City,58360,11387,184691,128573,31.598724355815932,8.856447310088432
Baltimore County,198122,80759,324276,225973,61.09672007795828,35.73834042120077
Calvert,29610,18447,39284,33660,75.37419814682823,54.80392156862746
Caroline,9489,6727,11505,10396,82.47718383311604,64.70757983839938
Carroll,62445,38969,75051,66937,83.20342167326218,58.21742832812944
Cecil,27063,18159,34939,27844,77.45785511892154,65.2169228559115
Charles,31756,15096,64360,49912,49.34120571783717,30.24523160762943
Dorchester,9205,6169,12367,10894,74.43195601196734,56.62750137690472
Frederick,72560,44307,107219,99013,67.67457260373628,44.748669366648826
Garrett,9472,8195,11008,10996,86.04651162790698,74.52710076391415
Harford,85259,51930,110579,96633,77.10234312120747,53.739405793052065
Howard,80574,33110,143383,121198,56.194946402293155,27.318932655654383
Kent,6370,3718,8694,8239,73.26892109500805,45.12683578104139
Montgomery,180018,58701,408428,294194,44.075822421577364,19.953160159622563
Prince George's,89925,17937,318985,202977,28.19098076712071,8.836961823260763
Queen Anne's,19503,12840,22971,22254,84.90270340864569,57.69749258560258
Saint Mary's,30703,20670,40394,36465,76.00881319007775,56.68449197860963
Somerset,5203,3974,7702,6428,67.55388210854323,61.82327317983821
Talbot,14081,7497,18190,16017,77.41066520065971,46.80651807454579
Washington,38765,27571,50461,46038,76.82170389013298,59.88748425213954
Wicomico,22659,14612,33534,27788,67.57022723206299,52.58384914351518
Worcester,18076,13433,23755,22569,76.09345400968218,59.51969515707386
